,white_king_col,white_king_row,white_rook_col,white_rook_row,black_king_col,black_king_row
5918,d,2,g,7,a,3
11809,d,1,f,1,a,7
23575,c,1,h,4,c,5
2436,d,3,d,5,h,5
20327,d,2,c,4,a,8
20139,d,2,b,2,g,5
17549,b,2,a,1,f,6
18585,c,2,b,3,b,5
3746,d,3,c,7,c,1
9871,d,3,e,4,a,4
10666,b,2,a,5,h,2
7772,d,3,e,5,g,4
1327,c,2,f,3,c,4
6613,a,1,b,3,g,2
7796,d,3,f,1,h,8
5735,d,1,c,4,a,3
20760,d,2,h,2,f,6
3276,d,2,c,3,b,2
2746,d,4,g,5,f,4
16764,a,1,a,5,g,6
8294,d,4,h,4,f,3
8083,d,4,c,7,g,4
21728,b,1,d,8,f,3
9853,d,3,e,3,c,5
14383,c,2,d,4,c,6
17467,b,1,g,8,a,6
15190,d,1,b,4,b,8
19812,d,1,f,3,d,6
8011,d,4,b,6,h,7
3865,d,3,h,7,c,1
23200,c,1,e,5,g,7
9886,d,3,e,5,b,8
27414,d,1,c,2,e,4
16277,d,3,c,4,f,7
23549,c,1,h,3,d,4
20574,d,2,g,1,a,8
15546,d,2,a,5,a,8
268,b,1,c,3,f,3
518,b,1,g,6,f,6
7159,c,2,f,5,h,1
16897,a,1,f,4,g,7
14452,c,2,e,2,b,6
6360,d,4,d,5,g,4
26681,b,1,h,8,d,6
10199,d,4,e,3,f,3
2358,d,3,b,1,c,1
6023,d,3,b,8,b,2
7342,c,3,g,6,h,4
24581,d,1,c,6,a,5
15117,d,1,a,1,a,4
20161,d,2,b,3,f,3
937,c,1,e,4,f,3
20442,d,2,e,6,b,6
10461,b,1,a,8,a,3
3459,c,3,c,2,h,1
22090,b,1,h,4,a,4
17631,b,2,b,8,c,6
4965,d,3,f,5,g,1
16249,d,3,c,2,f,8
14954,c,3,d,3,h,6
2774,d,4,h,3,h,4
267,b,1,b,8,c,8
17105,b,1,c,6,g,7
3119,d,3,c,6,h,1
8420,b,1,b,4,e,1
1210,c,2,c,7,d,7
1085,c,1,g,8,b,7
15127,d,1,a,2,a,8
740,b,2,h,5,b,4
9595,d,2,f,2,h,3
6218,d,3,h,5,a,8
8852,c,2,a,7,a,2
3036,c,3,e,2,b,1
24163,d,1,a,2,e,3
11189,c,2,d,8,b,6
11527,c,3,e,6,f,6
23468,c,1,g,8,h,2
20379,d,2,d,5,a,5
18849,c,2,e,6,e,3
1769,d,1,d,5,b,4
11255,c,2,f,1,g,8
3708,d,3,b,1,c,8
14972,c,3,d,4,h,7
13734,b,2,f,6,h,2
16303,d,3,d,1,h,5
7626,d,3,c,1,g,3
25378,d,2,d,6,b,4
12708,d,3,e,8,a,6
15911,d,2,h,1,a,8
3562,d,1,h,7,b,1
6659,b,1,b,8,g,1
130,a,1,g,3,h,3
16145,d,3,b,3,c,7
3220,d,3,g,2,a,1
4880,d,3,c,4,f,1
4918,d,3,d,8,b,3
1176,c,2,b,7,d,7
5582,c,3,a,4,h,1
17628,b,2,b,8,b,3
1825,d,1,e,7,d,6
17271,b,1,e,3,f,5
13714,b,2,f,4,h,5
13458,b,1,f,3,g,8
160,a,1,g,7,f,6
11409,c,3,a,5,c,5
19143,c,2,h,4,d,7
19628,d,1,d,5,b,2
17977,c,1,c,5,h,5
11325,c,2,g,1,f,1
1707,d,1,b,8,b,7
2216,d,2,f,7,b,8
6329,d,4,c,6,b,1
2995,c,2,h,2,f,1
12550,d,3,d,2,a,7
398,b,1,e,5,f,4
11335,c,2,g,4,a,6
24062,c,2,h,3,a,5
16989,b,1,a,2,a,8
10987,c,1,f,3,h,6
14613,c,2,f,5,d,7
23668,c,1,h,8,e,3
15325,d,1,e,2,h,4
6713,b,1,e,3,g,2
3940,c,2,b,4,a,6
17730,b,2,e,2,f,3
24053,c,2,h,3,a,4
16503,d,3,g,2,e,8
14778,c,3,a,1,f,3
24537,d,1,c,3,f,7
18189,c,1,e,8,h,5
17539,b,1,h,8,a,6
5943,d,3,a,1,a,2
12549,d,3,d,2,f,8
16981,b,1,a,2,c,7
14447,c,2,e,2,a,4
9085,c,3,a,5,e,2
449,b,1,f,4,g,4
15648,d,2,c,8,h,7
24786,d,1,f,1,a,6
26723,b,2,c,6,a,4
15987,d,3,a,1,b,5
15411,d,1,f,8,a,3
23810,c,2,c,7,e,5
24065,c,2,h,6,d,4
13505,b,1,g,5,a,8
8727,c,1,c,2,a,6
18226,c,1,f,6,a,7
6606,a,1,a,3,c,2
27559,d,1,f,6,f,4
6521,d,4,g,4,e,1
24929,d,1,g,2,h,8
366,b,1,e,1,e,2
7807,d,3,f,4,c,5
15468,d,1,h,4,a,7
7559,d,3,a,3,g,3
15963,d,2,h,5,h,7
20575,d,2,g,1,b,3
24478,d,1,b,8,g,6
1890,d,1,f,8,a,8
5134,d,4,f,8,h,1
5203,b,1,b,3,d,1
26797,b,2,g,7,a,4
5966,d,3,a,6,h,2
23143,c,1,e,1,d,5
14117,c,1,g,8,b,5
7583,d,3,a,8,f,3
14770,c,2,h,8,b,8
1688,d,1,b,5,h,6
6673,b,1,c,3,e,8
21359,b,1,a,4,c,6
4292,d,3,b,8,h,1
4614,c,2,b,3,e,1
18492,c,2,a,7,e,7
19872,d,1,g,6,a,8
26384,b,1,f,1,e,5
7149,c,2,f,4,c,8
15642,d,2,c,7,b,3
22838,c,1,b,1,a,3
25094,d,1,h,2,f,6
26267,b,1,d,2,e,5
4822,d,2,g,3,a,6
23337,c,1,g,1,c,7
26716,b,2,c,3,f,6
454,b,1,f,5,a,4
10215,d,4,e,7,f,4
28018,b,1,f,3,e,6
6958,c,1,c,8,e,1
164,a,1,g,7,h,8
6740,b,1,g,5,a,8
182,a,1,h,4,h,3
13756,b,2,g,2,e,2
24482,d,1,c,1,c,7
17841,c,1,a,2,b,6
3183,d,1,e,2,a,1
27249,c,1,g,6,b,6
8291,d,4,h,4,d,2
11892,d,1,h,3,a,7
23730,c,2,b,3,f,5
3742,d,3,c,6,h,1
6356,d,4,d,3,g,2
10663,b,2,a,4,e,2
15521,d,2,a,3,b,3
15664,d,2,d,1,a,6
7862,d,3,g,6,a,8
4787,d,2,d,4,f,2
7087,c,2,d,3,g,8
9899,d,3,e,7,h,6
254,b,1,b,6,c,7
23692,c,2,a,6,e,5
20498,d,2,f,2,f,6
4474,d,4,g,2,d,2
17367,b,1,f,3,h,3
10611,b,1,f,7,c,8
16640,d,3,h,4,c,6
13643,b,2,d,5,f,5
20326,d,2,c,4,h,7
12090,d,2,d,8,a,7
8766,c,1,d,5,a,4
933,c,1,e,4,d,4
26001,b,1,a,6,c,5
12794,d,3,g,8,a,6
23526,c,1,h,2,a,8
22505,b,2,g,1,a,5
11444,c,3,c,2,h,7
14019,c,1,e,5,h,6
10201,d,4,e,3,g,3
19221,c,3,a,2,a,4
13727,b,2,f,5,h,5
5642,c,3,e,4,g,2
18107,c,1,e,2,f,4
12375,d,3,a,5,h,5
11066,c,2,a,1,b,7
8262,d,4,f,8,h,3
1037,c,1,g,2,g,1
26483,b,1,g,2,f,6
23243,c,1,e,8,d,5
4848,d,2,h,5,e,3
5996,d,3,b,5,h,2
13257,a,1,g,4,f,1
3357,d,2,h,4,b,3
4415,d,3,g,7,b,2
15570,d,2,a,8,d,6
26794,b,2,g,7,f,5
3179,d,1,b,3,b,1
11800,d,1,e,8,f,2
952,c,1,e,6,e,7
19516,d,1,a,8,b,8
11263,c,2,f,2,a,6
3347,d,2,g,8,g,1
7920,d,4,a,3,h,3
5000,d,3,g,4,d,1
18402,c,2,a,2,b,5
16278,d,3,c,5,f,7
17533,b,1,h,7,f,2
21747,b,1,e,1,a,5
16795,a,1,c,1,h,6
14884,c,3,b,7,h,4
16602,d,3,h,2,b,6
14301,c,2,b,5,h,7
16253,d,3,c,2,g,7
22920,c,1,b,5,d,5
16192,d,3,b,7,g,5
25506,a,1,a,2,f,5
8685,b,2,h,4,h,1
25608,a,1,b,4,g,5
9039,c,2,h,1,a,1
23774,c,2,c,1,f,5
12536,d,3,d,1,f,7
7322,c,3,f,6,a,1
17318,b,1,e,7,c,3
11170,c,2,d,6,a,3
14305,c,2,b,6,g,7
22485,b,2,f,7,g,2
25961,a,1,h,6,g,3
12740,d,3,f,6,a,8
6506,d,4,g,1,c,1
23502,c,1,h,1,g,4
9608,d,2,f,3,g,3
20836,d,2,h,7,a,7
14857,c,3,b,3,b,4
8366,a,1,g,1,g,7
9525,d,2,d,4,c,7
21250,a,1,h,5,h,2
21837,b,1,e,7,g,7
6848,b,2,g,3,e,2
18664,c,2,c,1,e,7
11506,c,3,e,3,a,4
27120,c,1,f,2,f,6
12146,d,2,e,3,b,5
23843,c,2,d,1,f,3
18602,c,2,b,4,a,5
27159,c,1,f,7,c,4
8043,d,4,c,3,c,1
14822,c,3,a,7,h,4
304,b,1,c,7,d,7
16181,d,3,b,6,a,4
6193,d,3,g,5,a,8
10254,d,4,g,6,d,2
7765,d,3,e,5,c,5
3920,c,1,a,2,a,1
21261,a,1,h,6,g,2
17523,b,1,h,6,f,2
9042,c,2,h,3,a,5
7077,c,2,d,1,g,1
5952,d,3,a,5,e,1
11917,d,2,a,3,f,7
14173,c,1,h,8,e,3
6075,d,3,c,7,g,1
24743,d,1,e,5,g,4
24965,d,1,g,4,b,6
19664,d,1,d,7,g,4
15597,d,2,b,5,e,6
8728,c,1,c,2,a,3
25572,a,1,b,1,d,1
1139,c,2,a,6,e,5
11376,c,2,h,4,h,8
468,b,1,f,7,e,7
18857,c,2,e,7,d,4
19278,c,3,c,1,f,5
20235,d,2,b,8,f,7
14144,c,1,h,5,e,2
617,b,2,e,4,b,5
1310,c,2,f,1,g,1
27515,d,1,f,1,a,6
23890,c,2,d,8,a,5
17326,b,1,e,8,d,7
5300,c,1,b,4,h,3
5905,d,2,f,5,e,2
3251,d,1,f,2,h,1
6739,b,1,g,5,f,1
19081,c,2,h,1,h,6
12810,d,3,h,2,b,8
26976,c,1,c,7,f,5
22306,b,2,c,1,b,6
17419,b,1,f,7,f,5
8758,c,1,c,8,b,6
15801,d,2,e,7,a,5
7264,c,3,c,1,g,1
13150,d,4,h,8,f,5
14764,c,2,h,8,a,7
18214,c,1,f,3,c,7
2829,c,2,b,3,a,2
22708,c,1,a,4,d,5
12922,d,4,a,6,f,5
20721,d,2,h,1,d,7
289,b,1,c,5,d,6
9313,d,1,b,8,g,2
2656,d,4,c,2,b,2
3478,d,1,c,2,g,1
8699,c,1,a,2,f,2
22553,b,2,h,1,e,3
2657,d,4,d,1,c,1
5518,c,2,d,4,g,1
14053,c,1,f,3,g,5
17013,b,1,a,5,f,5
3526,d,1,f,4,b,3
10027,d,3,h,2,b,7
1876,d,1,f,6,g,6
22637,c,1,a,1,g,7
15618,d,2,b,8,h,7
7638,d,3,c,2,f,3
13164,a,1,a,5,c,1
9234,c,3,f,2,h,6
10782,b,2,f,7,g,1
20520,d,2,f,4,c,6
7831,d,3,f,6,b,3
27054,c,1,d,7,g,2
19489,d,1,a,5,h,6
18573,c,2,b,2,f,6
2596,d,3,g,8,b,7
12578,d,3,d,5,a,7
4797,d,2,e,4,g,3
4488,d,4,h,4,f,1
20688,d,2,g,8,b,8
377,b,1,e,3,g,2
357,b,1,d,7,e,7
19817,d,1,f,5,a,3
26253,b,1,d,1,a,6
27407,d,1,c,1,a,5
8724,c,1,c,2,a,3
10323,a,1,b,4,g,3
15643,d,2,c,7,h,5
16768,a,1,a,7,g,2
5537,c,2,e,4,h,3
25188,d,1,h,6,d,4
600,b,2,e,2,d,3
2087,d,2,c,6,b,7
9057,c,2,h,7,f,1
25433,d,2,f,7,a,7
7504,d,2,e,4,b,7
21249,a,1,h,5,d,4
12618,d,3,e,1,g,3
13533,b,1,h,4,b,3
19803,d,1,f,1,a,7
5809,d,2,a,5,h,2
10384,a,1,g,1,c,1
27531,d,1,f,2,c,4
4352,d,3,e,5,f,2
7144,c,2,e,8,h,2
6064,d,3,c,6,h,1
12801,d,3,h,1,g,8
21845,b,1,e,8,h,4
20699,d,2,g,8,e,4
27668,a,1,b,2,d,2
8805,c,1,h,1,a,1
13497,b,1,g,2,a,5
27444,d,1,c,7,b,3
14155,c,1,h,6,c,8
6056,d,3,c,5,g,1
18916,c,2,f,3,b,8
24534,d,1,c,3,a,4
16760,a,1,a,5,f,3
19940,d,1,h,6,c,8
20523,d,2,f,4,d,4
20345,d,2,c,6,h,5
9448,d,2,c,1,a,3
5385,c,1,g,7,e,5
21056,a,1,c,7,e,1
4318,d,3,d,1,h,1
2652,d,4,c,2,c,1
6017,d,3,b,7,a,2
21769,b,1,e,3,f,5
13814,c,1,a,2,b,7
23614,c,1,h,6,a,5
16778,a,1,b,4,g,1
24723,d,1,e,4,d,6
6473,d,4,f,6,g,1
19101,c,2,h,2,b,6
113,a,1,f,6,g,6
12574,d,3,d,4,f,8
472,b,1,f,7,g,6
16894,a,1,f,4,h,4
19188,c,2,h,7,a,6
20798,d,2,h,4,f,4
16404,d,3,f,2,c,8
5866,d,2,c,5,g,2
16912,a,1,f,6,h,2
27123,c,1,f,3,c,5
10119,d,4,b,7,g,3
22323,b,2,c,4,g,4
848,c,1,c,5,d,5
5049,d,3,h,8,b,3
4571,c,1,d,3,e,2
14662,c,2,g,3,g,6
26927,c,1,c,2,d,5
18192,c,1,e,8,f,3
3773,d,3,e,2,b,1
20915,d,3,f,7,c,6
24797,d,1,f,1,a,8
25980,b,1,a,2,c,5
27082,c,1,e,6,c,3
14858,c,3,b,3,c,5
27527,d,1,f,2,c,3
135,a,1,g,3,h,3
17088,b,1,c,2,h,5
20330,d,2,c,4,g,6
18756,c,2,d,2,c,8
19697,d,1,e,1,d,7
26053,b,1,b,3,c,6
26675,b,1,h,8,a,4
12968,d,4,b,7,f,4
2584,d,3,g,6,h,6
13152,d,4,h,8,g,4
18373,c,1,h,8,a,5
10279,d,4,h,5,e,2
8790,c,1,f,6,h,1
13160,a,1,a,4,c,2
3039,c,3,e,4,b,1
24857,d,1,f,5,f,4
17969,c,1,c,3,h,3
3997,d,1,a,8,h,1
15786,d,2,e,5,a,5
18470,c,2,a,6,b,4
6566,d,4,h,2,d,2
16287,d,3,c,7,g,5
18242,c,1,f,8,a,7
11106,c,2,b,3,a,8
11480,c,3,d,5,h,6
17093,b,1,c,3,e,8
425,b,1,f,1,e,1
22613,c,1,a,1,c,6
18692,c,2,c,4,a,7
5268,b,2,g,8,h,2
12845,d,3,h,5,c,5
4693,c,3,e,3,f,2
27775,a,1,d,6,g,3
26408,b,1,f,5,a,3
23249,c,1,e,8,d,6
6810,b,2,c,7,e,1
2531,d,3,f,7,f,6
16720,d,4,d,3,h,4
22559,b,2,h,2,g,2
23232,c,1,e,7,b,7
13693,b,2,f,2,g,6
13191,a,1,c,1,h,2
7015,c,2,a,7,a,8
24644,d,1,d,6,h,3
4111,d,2,a,7,f,1
15854,d,2,f,7,b,3
21082,a,1,d,4,c,2
11406,c,3,a,5,h,3
25674,a,1,c,4,h,6
5360,c,1,e,7,h,1
10025,d,3,h,2,f,5
26494,b,1,g,3,b,3
26070,b,1,b,3,a,3
5235,b,1,g,1,a,7
24246,d,1,a,6,c,6
25902,a,1,g,5,f,3
2197,d,2,f,5,e,5
27302,c,2,c,6,e,6
21602,b,1,c,3,a,7
24804,d,1,f,2,e,8
15342,d,1,e,4,e,8
23872,c,2,d,7,d,5
8700,c,1,a,3,c,8
14299,c,2,b,5,a,5
653,b,2,f,4,h,3
13124,d,4,h,2,f,6
19199,c,2,h,8,c,6
7662,d,3,c,6,b,3
24095,c,3,f,3,f,5
3234,d,1,c,2,f,1
17507,b,1,h,5,f,6
16055,d,3,a,6,b,4
10918,c,1,e,2,c,7
9305,d,1,b,4,e,8
20262,d,2,c,2,h,6
22862,c,1,b,2,d,4
22228,b,2,a,6,f,6
8565,b,1,h,7,d,1
2099,d,2,c,7,d,7
26024,b,1,a,7,e,5
23704,c,2,b,1,b,4
21600,b,1,c,3,a,5
26324,b,1,d,8,e,3
15873,d,2,g,5,a,7
1275,c,2,e,4,f,3
15983,d,2,h,8,d,8
12986,d,4,c,2,f,4
4304,d,3,c,4,h,2
710,b,2,g,6,h,5
16188,d,3,b,7,b,5
22934,c,1,b,6,e,6
9901,d,3,e,8,f,4
2132,d,2,d,7,h,6
16697,d,3,h,8,g,6
22160,b,1,h,7,b,7
24838,d,1,f,4,c,5
10731,b,2,d,7,f,1
23816,c,2,c,7,a,6
21558,b,1,b,8,g,4
22813,c,1,a,8,f,3
27658,d,1,g,8,b,7
9054,c,2,h,7,a,4
10041,d,3,h,5,b,3
26022,b,1,a,7,e,3
13037,d,4,d,6,f,4
9912,d,3,e,8,b,8
12859,d,3,h,5,a,7
21696,b,1,d,3,h,5
19666,d,1,d,8,f,2
25963,a,1,h,7,g,3
22337,b,2,c,7,g,6
8830,c,2,a,1,f,2
4132,d,2,b,3,e,1
4622,c,2,b,6,a,8
566,b,1,h,7,e,6
26919,c,1,b,8,e,6
8973,c,2,e,5,a,8
14344,c,2,c,5,h,6
20832,d,2,h,7,d,7
22356,b,2,d,1,f,4
5381,c,1,g,5,h,7
13062,d,4,e,2,a,6
5458,c,2,b,7,a,5
24458,d,1,b,7,a,7
25880,a,1,g,1,c,3
10734,b,2,d,8,g,1
21475,b,1,b,2,e,7
6947,c,1,c,5,h,2
19082,c,2,h,1,g,7
11289,c,2,f,4,a,6
17720,b,2,e,2,h,5
9431,d,2,a,8,g,3
17537,b,1,h,8,a,7
26182,b,1,c,3,a,7
18065,c,1,d,6,e,7
1795,d,1,e,3,d,3
24635,d,1,d,5,f,5
22583,b,2,h,5,b,4
1057,c,1,g,4,h,5
10156,d,4,c,8,g,3
7687,d,3,c,8,a,6
2629,d,3,h,7,g,8
15939,d,2,h,5,b,8
2731,d,4,g,3,h,3
4816,d,2,g,1,h,4
17803,b,2,h,2,h,6
10159,d,4,d,1,f,2
5646,c,3,e,7,h,1
24729,d,1,e,5,b,8
12320,d,3,a,1,h,8
19353,c,3,f,1,e,4
24757,d,1,e,7,c,3
445,b,1,f,4,e,5
23808,c,2,c,7,e,3
8913,c,2,d,1,b,6
4800,d,2,f,1,g,1
16445,d,3,f,5,e,7
2543,d,3,g,1,h,2
4623,c,2,b,7,h,2
13738,b,2,f,6,a,6
10467,b,1,b,2,e,2
27640,d,1,g,7,g,6
25941,a,1,h,3,e,6
8612,b,2,b,7,d,1
284,b,1,c,5,b,6
998,c,1,f,4,c,5
27853,a,1,g,4,f,4
11373,c,2,h,4,b,6
5020,d,3,g,8,h,3
25292,d,2,b,1,e,5
12492,d,3,c,3,a,5
7361,c,3,h,5,a,1
19785,d,1,e,7,b,2
21242,a,1,h,2,h,8
25636,a,1,b,7,g,7
4768,d,2,b,4,a,6
26669,b,1,h,7,e,6
4281,d,3,b,5,b,8
7199,c,2,h,4,g,1
27374,d,1,b,7,a,7
4533,b,2,h,2,f,1
25672,a,1,c,4,h,4
19955,d,2,a,1,h,6
16906,a,1,f,5,h,8
7530,d,2,g,5,a,3
14709,c,2,h,2,c,5
7040,c,2,c,5,e,3
9748,d,3,b,5,a,5
11583,c,3,f,7,h,4
8469,b,1,c,6,a,8
3661,d,2,g,6,h,1
19133,c,2,h,4,b,4
8352,a,1,d,3,f,1
5426,c,2,a,8,e,1
2379,d,3,b,5,h,4
17745,b,2,e,4,g,4
22757,c,1,a,6,a,4
682,b,2,g,3,e,2
111,a,1,f,6,h,5
25706,a,1,d,1,g,5
8342,a,1,c,3,f,1
7324,c,3,f,7,d,1
19875,d,1,g,7,f,2
17389,b,1,f,6,a,7
3411,d,3,h,3,b,1
15654,d,2,d,1,d,7
3977,d,1,a,3,a,1
13271,a,1,h,4,h,2
4403,d,3,g,3,g,1
7393,d,1,c,4,b,8
11395,c,2,h,8,f,2
1374,c,2,g,2,a,3
18836,c,2,e,3,d,5
14524,c,2,e,6,b,6
16461,d,3,f,8,a,5
24038,c,2,g,8,b,6
14241,c,2,a,5,c,5
4315,d,3,c,8,a,2
16007,d,3,a,2,a,6
17734,b,2,e,2,g,7
26183,b,1,c,3,f,3
14107,c,1,g,6,e,1
2661,d,4,d,1,e,2
20254,d,2,c,1,b,5
5702,d,1,a,4,g,2
26449,b,1,f,8,c,5
7020,c,2,b,2,h,2
10999,c,1,f,6,h,2
21101,a,1,d,8,h,7
20660,d,2,g,5,a,3
3788,d,3,e,6,c,1
14331,c,2,c,3,h,7
24135,d,1,a,1,e,7
9468,d,2,c,3,b,6
12276,d,2,h,3,a,6
6259,d,4,a,5,g,3
12367,d,3,a,5,h,5
7599,d,3,b,5,h,8
17204,b,1,e,1,a,8
12655,d,3,e,3,e,7
20585,d,2,g,1,g,7
5942,d,3,a,1,g,1
12565,d,3,d,4,b,4
26485,b,1,g,2,d,3
22022,b,1,g,7,f,5
12804,d,3,h,1,g,8
18042,c,1,d,5,c,3
648,b,2,f,4,h,3
16547,d,3,g,5,d,5
17894,c,1,a,6,c,8
7334,c,3,g,4,d,1
21268,a,1,h,7,d,2
16027,d,3,a,3,c,6
6220,d,3,h,5,a,1
19969,d,2,a,1,f,6
17252,b,1,e,3,d,3
24859,d,1,f,5,d,6
12074,d,2,d,7,g,3
18430,c,2,a,3,b,6
10431,a,1,h,6,f,1
3651,d,2,g,2,b,2
11149,c,2,d,2,a,5
25927,a,1,h,1,f,5
7411,d,1,f,5,b,1
3684,d,3,a,2,f,1
10632,b,1,g,7,a,3
25818,a,1,e,6,c,2
18865,c,2,e,7,g,5
20962,a,1,a,5,g,4
2481,d,3,e,7,d,8
19466,d,1,a,3,b,7
15569,d,2,a,8,b,8
6903,c,1,b,1,e,1
22455,b,2,e,6,h,6
27808,a,1,f,6,c,2
7532,d,2,g,7,f,8
15044,c,3,f,8,f,2
9047,c,2,h,5,g,1
21981,b,1,g,4,c,6
14985,c,3,d,7,h,5
1602,c,3,h,4,g,5
18906,c,2,f,3,c,7
16326,d,3,d,2,e,5
11250,c,2,f,1,b,8
19347,c,3,e,6,g,4
3475,d,1,b,5,b,1
318,b,1,d,2,e,2
13625,b,2,c,5,f,3
27849,a,1,g,3,h,6
22330,b,2,c,5,a,4
17054,b,1,b,4,e,8
27295,c,1,h,7,a,7
17854,c,1,a,3,h,3
7121,c,2,e,2,h,2
19852,d,1,g,5,a,7
18144,c,1,e,4,a,5
15466,d,1,h,3,a,7
15526,d,2,a,4,c,8
25044,d,1,h,1,c,7
7068,c,2,c,8,g,4
21184,a,1,f,5,e,1
24575,d,1,c,5,g,5
14652,c,2,g,1,b,5
20568,d,2,g,1,a,4
4775,d,2,b,7,a,2
8822,c,1,h,7,h,8
10113,d,4,b,6,f,2
8499,b,1,e,1,a,8
19058,c,2,g,7,g,2
84,a,1,f,2,g,1
10498,b,1,c,5,b,3
18712,c,2,c,5,c,7
3851,d,3,h,2,b,1
13888,c,1,d,1,b,3
15281,d,1,d,6,g,2
19180,c,2,h,6,a,3
21806,b,1,e,6,b,6
23114,c,1,d,7,g,3
10432,a,1,h,6,f,1
20577,d,2,g,1,b,5
13061,d,4,e,2,a,5
3607,d,2,d,7,f,2
11075,c,2,a,3,b,7
22321,b,2,c,4,f,4
6153,d,3,e,6,f,2
25408,d,2,f,2,b,5
1320,c,2,f,3,f,2
21248,a,1,h,5,d,2
26849,c,1,b,1,e,4
20468,d,2,f,1,b,6
13438,b,1,f,1,f,2
5380,c,1,g,4,h,7
5817,d,2,a,7,g,8
15964,d,2,h,6,d,7
18315,c,1,h,3,a,6
6115,d,3,d,6,e,4
19566,d,1,c,3,g,7
8360,a,1,e,3,h,2
20791,d,2,h,4,a,5
21144,a,1,e,5,h,3
1143,c,2,a,6,c,7
8486,b,1,c,8,c,4
551,b,1,h,4,h,3
27126,c,1,f,3,d,4
21265,a,1,h,7,d,2
8590,b,2,a,7,f,1
27329,d,1,b,1,e,5
2803,c,2,a,4,e,1
1046,c,1,g,3,g,4
149,a,1,g,5,f,6
3069,c,3,g,2,b,1
8684,b,2,h,4,b,3
94,a,1,f,3,e,4
7625,d,3,c,1,b,3
27950,b,1,c,2,a,4
24798,d,1,f,2,a,6
914,c,1,d,8,f,8
9793,d,3,d,7,c,5
21665,b,1,d,1,h,7
19743,d,1,e,4,d,7
16119,d,3,b,1,g,4
27314,c,2,f,3,f,5
1496,c,3,f,1,h,2
26749,b,2,f,4,g,4
23702,c,2,b,1,e,5
14699,c,2,h,1,h,3
4885,d,3,c,4,g,2
10633,b,1,g,7,a,8
26357,b,1,e,6,e,3
7098,c,2,d,5,b,8
23111,c,1,d,6,d,5
7873,d,3,h,4,a,6
21567,b,1,c,1,c,6
14987,c,3,d,7,c,7
18840,c,2,e,5,c,4
11548,c,3,f,2,h,2
17534,b,1,h,7,h,2
17089,b,1,c,2,c,6
19409,c,3,g,8,c,5
13822,c,1,a,4,c,3
12937,d,4,b,1,a,4
10121,d,4,b,8,d,2
4901,d,3,d,4,e,1
25318,d,2,b,8,d,6
17979,c,1,c,5,g,7
14065,c,1,f,5,b,8
5145,d,4,g,3,h,6
12308,d,2,h,7,a,4
7284,c,3,c,8,c,1
5568,c,2,g,8,c,5
1967,d,1,h,5,h,4
21822,b,1,e,6,b,5
9376,d,1,f,5,h,8
22300,b,2,c,1,e,5
27903,a,1,h,3,e,4
1634,d,1,a,4,b,3
23208,c,1,e,6,c,3
7402,d,1,c,8,a,1
16833,a,1,d,6,d,1
18553,c,2,b,2,f,8
9809,d,3,e,1,f,5
21656,b,1,c,8,c,4
23086,c,1,d,3,a,6
22926,c,1,b,5,c,5
3037,c,3,e,3,b,1
9671,d,2,g,7,e,8
622,b,2,e,5,e,4
6246,d,4,a,3,g,2
926,c,1,e,3,a,4
9690,d,3,a,1,a,3
21058,a,1,c,7,h,3
17665,b,2,c,7,e,4
20981,a,1,a,8,e,2
24009,c,2,g,7,c,5
24153,d,1,a,2,c,5
16266,d,3,c,4,c,6
12381,d,3,a,5,a,7
1332,c,2,f,4,c,5
9224,c,3,f,1,d,1
5149,d,4,g,5,f,1
27043,c,1,d,6,f,6
10522,b,1,c,8,b,2
2688,d,4,f,2,g,1
1714,d,1,c,3,d,3
19400,c,3,g,7,e,3
19394,c,3,g,4,h,5
2059,d,2,b,7,a,7
12125,d,2,e,2,g,7
6037,d,3,c,3,a,8
8523,b,1,g,2,e,8
3855,d,3,h,4,a,1
15227,d,1,d,2,c,4
8122,d,4,d,5,g,5
7518,d,2,f,4,a,4
17752,b,2,e,6,f,2
10907,c,1,d,7,b,8
20959,a,1,a,5,d,3
10080,d,4,a,6,e,2
8508,b,1,f,1,c,8
14811,c,3,a,5,f,6
7580,d,3,a,7,f,3
15122,d,1,a,1,f,2
19938,d,1,h,6,c,8
19027,c,2,g,4,g,7
7845,d,3,g,1,e,1
22542,b,2,g,8,e,4
18794,c,2,d,6,g,6
26654,b,1,h,7,c,3
2818,d,3,a,1,d,1
26730,b,2,c,7,e,4
950,c,1,e,6,b,7
5362,c,1,f,3,a,1
16186,d,3,b,7,e,7
19044,c,2,g,6,a,4
21075,a,1,d,2,h,5
25524,a,1,a,4,g,4
17423,b,1,f,8,a,7
20860,d,2,h,8,f,5
19450,c,3,h,8,e,5
6385,d,4,e,4,f,2
17406,b,1,f,6,b,3
1639,d,1,a,5,a,4
5200,b,1,b,3,h,2
14198,c,2,a,3,c,8
17808,b,2,h,4,h,7
6451,d,4,f,4,c,2
12116,d,2,e,2,f,6
17113,b,1,d,1,d,2
11921,d,2,a,3,h,6
21524,b,1,b,5,e,3
21202,a,1,g,1,e,2
16178,d,3,b,6,f,4
14991,c,3,d,8,b,6
22803,c,1,a,8,d,5
7316,c,3,f,4,h,3
1965,d,1,h,4,h,3
13933,c,1,d,5,c,8
24371,d,1,b,2,b,8
24435,d,1,b,5,e,6
17907,c,1,a,8,e,8
