,A1,A2,A3,A4,A5,A6,A7,A8,A9
50177,56.0,0.0,96.0,0.0,52.0,-30.0,40.0,44.0,4.0
10843,41.0,0.0,77.0,0.0,38.0,-21.0,37.0,39.0,2.0
29620,43.0,0.0,,-3.0,42.0,-7.0,45.0,47.0,2.0
28918,,0.0,93.0,0.0,10.0,1.0,55.0,82.0,28.0
15122,55.0,0.0,79.0,-8.0,20.0,-1.0,24.0,59.0,34.0
34065,47.0,2.0,,-1.0,,0.0,42.0,43.0,0.0
33675,42.0,-1.0,76.0,-4.0,42.0,0.0,35.0,35.0,0.0
1994,37.0,0.0,79.0,-3.0,24.0,0.0,42.0,55.0,14.0
25297,55.0,0.0,83.0,5.0,54.0,,27.0,28.0,2.0
11895,56.0,1.0,99.0,5.0,46.0,0.0,42.0,52.0,10.0
30790,56.0,-1.0,97.0,0.0,52.0,0.0,41.0,45.0,4.0
53738,37.0,-8.0,75.0,0.0,28.0,16.0,38.0,46.0,8.0
10797,37.0,0.0,78.0,0.0,36.0,0.0,,42.0,0.0
52413,47.0,,79.0,2.0,46.0,0.0,31.0,32.0,0.0
34070,56.0,0.0,97.0,0.0,50.0,-8.0,41.0,48.0,6.0
16596,39.0,-1.0,107.0,-8.0,38.0,0.0,68.0,68.0,0.0
10650,51.0,0.0,84.0,0.0,50.0,-5.0,,35.0,2.0
7589,37.0,0.0,83.0,0.0,-2.0,29.0,46.0,85.0,40.0
14734,37.0,0.0,76.0,0.0,36.0,-24.0,39.0,40.0,2.0
1662,49.0,0.0,84.0,-2.0,46.0,-10.0,36.0,38.0,2.0
12629,83.0,0.0,86.0,-6.0,-4.0,,3.0,91.0,88.0
35763,37.0,0.0,76.0,0.0,26.0,-20.0,39.0,50.0,12.0
54180,52.0,0.0,86.0,0.0,52.0,-7.0,33.0,34.0,0.0
9556,40.0,4.0,79.0,0.0,,0.0,38.0,40.0,2.0
20356,56.0,0.0,78.0,0.0,10.0,3.0,22.0,68.0,46.0
54961,54.0,3.0,,0.0,54.0,0.0,25.0,24.0,0.0
24344,46.0,4.0,88.0,0.0,46.0,,42.0,42.0,0.0
21396,41.0,0.0,79.0,3.0,38.0,-5.0,,41.0,2.0
56026,43.0,-1.0,76.0,0.0,42.0,-15.0,33.0,35.0,2.0
5043,52.0,-2.0,81.0,0.0,52.0,0.0,,,0.0
38843,47.0,0.0,95.0,,,0.0,49.0,49.0,
18567,41.0,0.0,81.0,8.0,42.0,1.0,39.0,,0.0
6996,55.0,0.0,77.0,0.0,2.0,-15.0,22.0,75.0,
57571,37.0,0.0,79.0,-5.0,34.0,-8.0,42.0,46.0,4.0
56259,,1.0,81.0,1.0,-40.0,9.0,5.0,122.0,118.0
48936,50.0,0.0,87.0,-3.0,,-4.0,37.0,38.0,0.0
4450,55.0,0.0,95.0,0.0,42.0,-19.0,40.0,54.0,14.0
35273,56.0,0.0,97.0,0.0,54.0,18.0,40.0,42.0,2.0
31783,41.0,-3.0,106.0,0.0,38.0,-11.0,65.0,67.0,2.0
36890,51.0,0.0,81.0,-3.0,52.0,8.0,30.0,30.0,0.0
16132,41.0,0.0,76.0,0.0,,11.0,35.0,35.0,0.0
42994,37.0,-1.0,,-6.0,8.0,-18.0,41.0,70.0,28.0
54150,,1.0,83.0,0.0,46.0,0.0,34.0,37.0,2.0
32978,37.0,0.0,78.0,0.0,10.0,-30.0,42.0,68.0,26.0
8099,37.0,-1.0,,-3.0,20.0,35.0,43.0,59.0,16.0
53790,37.0,0.0,76.0,0.0,30.0,26.0,40.0,45.0,6.0
7057,49.0,2.0,78.0,,46.0,-10.0,29.0,32.0,2.0
24839,45.0,0.0,87.0,0.0,46.0,,42.0,41.0,0.0
49916,46.0,0.0,92.0,4.0,46.0,0.0,45.0,45.0,0.0
56294,51.0,,88.0,0.0,52.0,17.0,37.0,37.0,0.0
57486,41.0,-2.0,76.0,0.0,38.0,-14.0,35.0,,2.0
39793,37.0,0.0,76.0,0.0,18.0,-17.0,40.0,58.0,18.0
50125,,0.0,79.0,0.0,8.0,-14.0,42.0,71.0,28.0
55853,37.0,0.0,80.0,0.0,34.0,-16.0,43.0,46.0,4.0
36387,45.0,-2.0,84.0,0.0,44.0,0.0,39.0,40.0,2.0
12459,104.0,0.0,105.0,-4.0,70.0,0.0,1.0,35.0,34.0
47573,37.0,-19.0,78.0,0.0,10.0,0.0,42.0,68.0,26.0
41765,37.0,0.0,77.0,0.0,,8.0,39.0,38.0,0.0
27551,52.0,-2.0,87.0,3.0,52.0,0.0,35.0,,0.0
2390,56.0,0.0,97.0,0.0,50.0,3.0,40.0,48.0,8.0
1520,37.0,0.0,81.0,0.0,-4.0,-29.0,44.0,86.0,
13985,55.0,0.0,,0.0,54.0,0.0,23.0,24.0,2.0
30991,82.0,0.0,85.0,0.0,-12.0,0.0,3.0,98.0,94.0
21068,37.0,,82.0,0.0,,7.0,45.0,66.0,22.0
9747,47.0,1.0,83.0,-1.0,46.0,0.0,36.0,36.0,0.0
16985,53.0,3.0,,0.0,52.0,-7.0,29.0,30.0,
18906,37.0,,80.0,0.0,34.0,-21.0,43.0,46.0,2.0
15801,43.0,2.0,78.0,-7.0,42.0,0.0,,37.0,2.0
28162,41.0,0.0,79.0,-7.0,38.0,0.0,39.0,41.0,2.0
10603,45.0,0.0,76.0,0.0,46.0,25.0,31.0,30.0,0.0
25066,56.0,0.0,98.0,0.0,50.0,-12.0,42.0,49.0,8.0
1733,56.0,0.0,80.0,0.0,56.0,25.0,24.0,23.0,
47109,44.0,0.0,,,44.0,10.0,41.0,41.0,0.0
52310,56.0,0.0,81.0,0.0,54.0,-11.0,25.0,27.0,2.0
48574,55.0,0.0,78.0,0.0,6.0,21.0,23.0,73.0,50.0
32354,44.0,0.0,76.0,-4.0,44.0,0.0,32.0,32.0,0.0
52267,55.0,0.0,78.0,6.0,24.0,0.0,23.0,55.0,32.0
24008,56.0,0.0,96.0,2.0,42.0,-16.0,40.0,55.0,14.0
41047,56.0,,81.0,-6.0,-10.0,-5.0,25.0,91.0,66.0
57383,49.0,2.0,81.0,0.0,50.0,19.0,,32.0,0.0
34978,42.0,1.0,79.0,6.0,42.0,0.0,37.0,38.0,0.0
6934,46.0,-1.0,86.0,0.0,46.0,5.0,41.0,40.0,0.0
57129,56.0,-1.0,87.0,5.0,56.0,0.0,31.0,30.0,
49903,53.0,1.0,81.0,0.0,,4.0,27.0,26.0,0.0
40817,37.0,0.0,81.0,0.0,8.0,-2.0,44.0,73.0,28.0
1871,53.0,0.0,78.0,0.0,52.0,-26.0,25.0,26.0,2.0
53552,56.0,0.0,96.0,4.0,56.0,9.0,40.0,39.0,0.0
32359,56.0,0.0,96.0,0.0,54.0,13.0,40.0,42.0,2.0
30224,38.0,4.0,,0.0,38.0,2.0,64.0,63.0,0.0
13839,,0.0,86.0,7.0,54.0,5.0,33.0,32.0,0.0
31157,54.0,,81.0,7.0,54.0,0.0,26.0,26.0,0.0
39302,55.0,0.0,78.0,-1.0,8.0,,23.0,70.0,48.0
40889,37.0,0.0,82.0,0.0,12.0,6.0,,69.0,24.0
8814,53.0,0.0,81.0,1.0,52.0,-11.0,28.0,,2.0
19699,37.0,0.0,80.0,0.0,26.0,-6.0,43.0,54.0,12.0
36879,45.0,0.0,83.0,0.0,44.0,-2.0,38.0,39.0,2.0
56409,47.0,0.0,86.0,8.0,46.0,0.0,38.0,39.0,0.0
55802,43.0,-2.0,77.0,1.0,42.0,-12.0,34.0,36.0,2.0
19580,46.0,-1.0,76.0,6.0,46.0,0.0,30.0,29.0,0.0
44259,48.0,0.0,78.0,0.0,46.0,-3.0,30.0,32.0,2.0
42510,52.0,-2.0,86.0,0.0,52.0,,35.0,35.0,0.0
6252,41.0,1.0,78.0,0.0,42.0,8.0,,37.0,0.0
44290,52.0,-1.0,87.0,1.0,52.0,-1.0,35.0,35.0,
44742,51.0,0.0,,0.0,52.0,21.0,36.0,35.0,0.0
26410,55.0,0.0,83.0,0.0,-28.0,15.0,,111.0,84.0
11558,41.0,0.0,85.0,0.0,38.0,-11.0,44.0,46.0,2.0
49868,37.0,0.0,76.0,0.0,24.0,,39.0,53.0,14.0
3725,49.0,0.0,88.0,0.0,46.0,-5.0,39.0,,
12378,47.0,0.0,84.0,-4.0,46.0,0.0,37.0,37.0,0.0
27159,37.0,0.0,,-1.0,10.0,9.0,42.0,68.0,26.0
40082,45.0,3.0,92.0,0.0,44.0,0.0,48.0,48.0,0.0
9919,37.0,-1.0,106.0,-3.0,30.0,112.0,69.0,,6.0
17176,,0.0,83.0,0.0,54.0,0.0,29.0,28.0,0.0
30849,37.0,0.0,105.0,0.0,18.0,20.0,68.0,87.0,18.0
55170,37.0,-4.0,102.0,-1.0,34.0,0.0,65.0,69.0,4.0
15002,47.0,,84.0,0.0,46.0,0.0,37.0,37.0,0.0
11858,37.0,,79.0,3.0,-2.0,0.0,42.0,82.0,40.0
19103,55.0,0.0,77.0,0.0,42.0,-29.0,22.0,36.0,14.0
29280,41.0,2.0,77.0,0.0,38.0,,37.0,39.0,2.0
55367,43.0,,84.0,-1.0,42.0,0.0,42.0,43.0,2.0
50844,37.0,0.0,80.0,8.0,6.0,-28.0,43.0,75.0,32.0
47512,53.0,0.0,,0.0,52.0,-6.0,29.0,30.0,2.0
24010,37.0,-1.0,81.0,0.0,36.0,-13.0,43.0,44.0,2.0
6148,37.0,0.0,76.0,0.0,34.0,19.0,39.0,42.0,2.0
12309,41.0,-1.0,97.0,0.0,42.0,27.0,57.0,56.0,0.0
31200,43.0,-1.0,86.0,5.0,44.0,16.0,43.0,42.0,0.0
10854,37.0,0.0,77.0,0.0,30.0,12.0,40.0,46.0,6.0
16797,56.0,0.0,81.0,0.0,-6.0,13.0,,88.0,64.0
48041,37.0,0.0,77.0,6.0,28.0,17.0,41.0,49.0,8.0
52811,37.0,,76.0,-2.0,20.0,,39.0,55.0,16.0
57192,56.0,0.0,,0.0,52.0,31.0,40.0,44.0,4.0
55205,53.0,0.0,,6.0,,8.0,30.0,29.0,0.0
2656,53.0,0.0,104.0,1.0,54.0,4.0,51.0,49.0,0.0
28844,53.0,0.0,82.0,1.0,54.0,0.0,29.0,28.0,0.0
6409,38.0,1.0,76.0,0.0,,10.0,38.0,37.0,0.0
22557,45.0,0.0,86.0,-4.0,46.0,19.0,41.0,40.0,0.0
6977,43.0,0.0,79.0,0.0,,30.0,35.0,35.0,0.0
50414,45.0,-3.0,81.0,-1.0,44.0,0.0,36.0,37.0,2.0
46350,44.0,4.0,90.0,0.0,44.0,0.0,45.0,46.0,0.0
28739,45.0,0.0,84.0,0.0,44.0,0.0,39.0,40.0,0.0
24869,80.0,0.0,84.0,0.0,-32.0,2.0,4.0,117.0,114.0
18278,47.0,,76.0,-2.0,46.0,0.0,29.0,29.0,0.0
1311,102.0,0.0,103.0,-1.0,,16.0,1.0,31.0,30.0
55813,55.0,0.0,,0.0,56.0,25.0,27.0,26.0,0.0
55330,37.0,0.0,81.0,0.0,30.0,0.0,45.0,50.0,6.0
29298,49.0,0.0,89.0,0.0,46.0,-10.0,40.0,42.0,
15706,48.0,-5.0,77.0,0.0,46.0,-2.0,,31.0,2.0
44453,56.0,0.0,78.0,-2.0,26.0,-5.0,22.0,52.0,30.0
7723,37.0,-2.0,94.0,0.0,36.0,2.0,,58.0,2.0
40302,75.0,5.0,79.0,1.0,-42.0,0.0,4.0,123.0,118.0
25231,56.0,-5.0,85.0,1.0,56.0,0.0,29.0,28.0,0.0
32038,46.0,,75.0,-2.0,46.0,-3.0,,28.0,0.0
8523,37.0,0.0,79.0,0.0,10.0,19.0,43.0,69.0,26.0
57920,54.0,2.0,81.0,1.0,54.0,0.0,28.0,27.0,0.0
8019,,-4.0,86.0,0.0,52.0,0.0,35.0,35.0,0.0
2153,43.0,0.0,76.0,0.0,44.0,20.0,,32.0,0.0
24525,37.0,,83.0,,24.0,0.0,46.0,59.0,14.0
25,37.0,4.0,,0.0,-2.0,0.0,43.0,83.0,40.0
7842,44.0,0.0,,0.0,42.0,-4.0,32.0,35.0,2.0
26600,37.0,0.0,,0.0,16.0,10.0,41.0,63.0,22.0
4952,51.0,-3.0,81.0,0.0,52.0,,30.0,30.0,0.0
28241,45.0,1.0,,0.0,44.0,0.0,44.0,44.0,0.0
28569,47.0,3.0,78.0,-4.0,46.0,0.0,31.0,32.0,0.0
53038,46.0,5.0,79.0,0.0,46.0,9.0,33.0,32.0,0.0
19683,50.0,1.0,86.0,0.0,50.0,0.0,35.0,37.0,2.0
42743,37.0,0.0,108.0,4.0,36.0,0.0,71.0,72.0,0.0
33611,37.0,0.0,,0.0,26.0,-16.0,67.0,78.0,12.0
17078,55.0,0.0,78.0,,6.0,0.0,23.0,73.0,50.0
3250,37.0,0.0,79.0,0.0,16.0,31.0,43.0,64.0,22.0
36560,57.0,4.0,97.0,0.0,56.0,1.0,40.0,40.0,0.0
52902,56.0,-1.0,95.0,-1.0,44.0,27.0,40.0,51.0,12.0
22792,37.0,0.0,105.0,1.0,30.0,-7.0,,74.0,6.0
1149,56.0,,85.0,1.0,56.0,,29.0,28.0,0.0
46889,50.0,-3.0,77.0,-7.0,,0.0,27.0,28.0,2.0
24190,41.0,0.0,77.0,,38.0,-8.0,37.0,39.0,2.0
52155,55.0,0.0,79.0,4.0,8.0,0.0,23.0,,48.0
48206,40.0,-1.0,86.0,0.0,38.0,0.0,45.0,47.0,2.0
52987,37.0,0.0,109.0,4.0,34.0,0.0,72.0,,4.0
52095,47.0,3.0,82.0,-1.0,46.0,0.0,34.0,35.0,0.0
34230,51.0,-3.0,86.0,0.0,52.0,23.0,36.0,35.0,0.0
55022,46.0,1.0,,1.0,46.0,5.0,33.0,32.0,0.0
45870,49.0,,83.0,0.0,50.0,17.0,34.0,33.0,0.0
48755,,0.0,,0.0,,-9.0,58.0,82.0,24.0
42106,41.0,0.0,77.0,1.0,42.0,15.0,36.0,35.0,0.0
40959,55.0,-3.0,78.0,0.0,16.0,-6.0,23.0,63.0,40.0
53274,51.0,1.0,80.0,0.0,52.0,20.0,29.0,28.0,0.0
12478,37.0,0.0,76.0,0.0,30.0,-21.0,39.0,45.0,6.0
1305,37.0,0.0,77.0,-3.0,8.0,-15.0,,70.0,28.0
19854,43.0,0.0,96.0,0.0,42.0,-6.0,53.0,55.0,2.0
9539,,1.0,77.0,0.0,44.0,3.0,33.0,34.0,0.0
1981,37.0,0.0,77.0,0.0,-24.0,-28.0,41.0,103.0,62.0
27450,43.0,0.0,81.0,8.0,42.0,0.0,38.0,40.0,
39780,46.0,5.0,81.0,0.0,46.0,8.0,35.0,34.0,0.0
1029,46.0,,81.0,1.0,46.0,8.0,35.0,35.0,0.0
6899,38.0,1.0,77.0,2.0,38.0,0.0,39.0,38.0,
45908,53.0,-2.0,82.0,,54.0,0.0,29.0,28.0,0.0
40405,37.0,0.0,104.0,0.0,26.0,4.0,,78.0,12.0
50937,46.0,0.0,76.0,0.0,46.0,5.0,30.0,30.0,0.0
14077,47.0,0.0,83.0,-3.0,46.0,-5.0,35.0,36.0,0.0
1730,40.0,0.0,80.0,-2.0,38.0,-4.0,40.0,41.0,2.0
46916,37.0,0.0,76.0,8.0,26.0,0.0,39.0,50.0,10.0
53368,41.0,4.0,102.0,0.0,42.0,7.0,61.0,60.0,0.0
46981,44.0,1.0,77.0,0.0,44.0,12.0,33.0,33.0,0.0
18820,45.0,0.0,85.0,2.0,44.0,0.0,41.0,41.0,0.0
40348,40.0,0.0,75.0,,38.0,,35.0,36.0,2.0
15061,45.0,,88.0,0.0,46.0,22.0,43.0,42.0,
12337,37.0,0.0,75.0,0.0,28.0,27.0,38.0,46.0,8.0
32023,49.0,3.0,86.0,0.0,50.0,24.0,38.0,37.0,0.0
12073,37.0,0.0,82.0,0.0,12.0,18.0,45.0,69.0,24.0
39597,,6.0,89.0,0.0,8.0,12.0,3.0,81.0,78.0
2078,42.0,0.0,,0.0,42.0,0.0,38.0,39.0,2.0
47210,49.0,0.0,79.0,0.0,50.0,23.0,31.0,30.0,0.0
42033,56.0,0.0,97.0,0.0,,-21.0,41.0,53.0,12.0
10863,75.0,6.0,79.0,6.0,-42.0,0.0,,123.0,120.0
38214,41.0,0.0,87.0,-4.0,38.0,-6.0,46.0,48.0,2.0
44182,56.0,0.0,95.0,,46.0,-11.0,40.0,49.0,10.0
34933,37.0,0.0,76.0,0.0,34.0,-19.0,39.0,42.0,2.0
40375,56.0,0.0,78.0,0.0,26.0,21.0,22.0,52.0,30.0
38446,37.0,0.0,79.0,0.0,26.0,-10.0,42.0,54.0,12.0
31590,56.0,0.0,98.0,3.0,52.0,,42.0,46.0,4.0
45697,56.0,0.0,79.0,0.0,8.0,12.0,24.0,72.0,48.0
6219,43.0,-4.0,85.0,0.0,44.0,14.0,42.0,41.0,0.0
4751,37.0,0.0,77.0,-1.0,-20.0,8.0,41.0,98.0,58.0
16233,,1.0,86.0,0.0,42.0,,45.0,45.0,0.0
14058,56.0,-5.0,81.0,0.0,56.0,0.0,25.0,24.0,0.0
48822,44.0,-5.0,97.0,8.0,44.0,0.0,53.0,53.0,0.0
25337,56.0,0.0,97.0,2.0,50.0,-1.0,41.0,48.0,6.0
4463,37.0,0.0,98.0,1.0,30.0,-16.0,61.0,67.0,6.0
3163,37.0,0.0,77.0,7.0,28.0,1.0,40.0,49.0,8.0
22321,,0.0,77.0,0.0,0.0,1.0,21.0,,56.0
9802,53.0,,,0.0,54.0,6.0,34.0,33.0,0.0
28976,51.0,-3.0,83.0,-3.0,50.0,-12.0,32.0,34.0,2.0
38094,37.0,0.0,78.0,0.0,6.0,-7.0,42.0,73.0,32.0
50332,37.0,0.0,78.0,0.0,8.0,-7.0,41.0,70.0,30.0
33563,37.0,0.0,81.0,0.0,24.0,31.0,44.0,58.0,14.0
49016,47.0,-5.0,90.0,0.0,46.0,0.0,43.0,43.0,0.0
14057,37.0,0.0,83.0,0.0,16.0,-14.0,47.0,68.0,22.0
43581,43.0,0.0,97.0,0.0,42.0,-9.0,53.0,55.0,2.0
30212,37.0,0.0,78.0,0.0,-4.0,15.0,41.0,83.0,42.0
56271,41.0,2.0,76.0,0.0,38.0,-29.0,35.0,37.0,2.0
12063,56.0,0.0,77.0,0.0,-6.0,-2.0,21.0,85.0,64.0
19625,43.0,4.0,77.0,0.0,,0.0,35.0,,2.0
54562,37.0,0.0,104.0,0.0,16.0,-12.0,67.0,88.0,22.0
38621,44.0,1.0,77.0,1.0,42.0,-13.0,34.0,36.0,2.0
41494,56.0,0.0,86.0,0.0,56.0,8.0,30.0,29.0,0.0
26776,44.0,2.0,79.0,,44.0,6.0,35.0,35.0,0.0
32300,37.0,-1.0,75.0,-4.0,28.0,-7.0,38.0,46.0,8.0
17936,39.0,0.0,85.0,0.0,38.0,0.0,46.0,46.0,0.0
43263,37.0,0.0,77.0,0.0,20.0,-22.0,40.0,56.0,16.0
35905,,0.0,93.0,0.0,30.0,3.0,55.0,,8.0
57820,37.0,0.0,80.0,0.0,30.0,-23.0,43.0,49.0,6.0
45966,38.0,1.0,79.0,0.0,38.0,23.0,41.0,40.0,0.0
30989,43.0,-4.0,86.0,0.0,42.0,-18.0,42.0,44.0,2.0
19607,37.0,0.0,83.0,0.0,34.0,-1.0,46.0,49.0,2.0
1142,52.0,-3.0,77.0,0.0,52.0,0.0,25.0,26.0,0.0
7448,56.0,5.0,78.0,0.0,42.0,0.0,22.0,37.0,14.0
22594,44.0,-5.0,87.0,0.0,44.0,0.0,43.0,43.0,0.0
41322,49.0,0.0,95.0,-7.0,46.0,-23.0,46.0,,2.0
52250,40.0,0.0,75.0,-7.0,38.0,0.0,35.0,36.0,2.0
29417,,0.0,109.0,0.0,,0.0,49.0,50.0,0.0
39513,45.0,-1.0,87.0,0.0,44.0,-21.0,42.0,43.0,2.0
1918,37.0,0.0,96.0,0.0,36.0,-15.0,59.0,60.0,2.0
10138,51.0,1.0,78.0,0.0,52.0,5.0,27.0,26.0,0.0
34827,52.0,-3.0,82.0,,52.0,0.0,30.0,30.0,0.0
40046,41.0,-3.0,,0.0,42.0,0.0,38.0,,0.0
18392,37.0,,76.0,0.0,24.0,31.0,40.0,53.0,14.0
20216,53.0,0.0,86.0,7.0,,0.0,32.0,32.0,0.0
52767,37.0,0.0,,0.0,26.0,-30.0,60.0,71.0,12.0
25371,46.0,0.0,76.0,0.0,44.0,-28.0,30.0,32.0,2.0
19591,37.0,0.0,82.0,0.0,26.0,-26.0,45.0,56.0,10.0
46452,37.0,0.0,76.0,0.0,28.0,23.0,40.0,48.0,8.0
32393,56.0,0.0,92.0,0.0,54.0,,36.0,38.0,2.0
56209,37.0,0.0,76.0,,24.0,9.0,39.0,52.0,14.0
48281,56.0,0.0,79.0,0.0,12.0,-1.0,23.0,66.0,42.0
33711,37.0,0.0,78.0,0.0,12.0,20.0,,,24.0
13260,38.0,0.0,82.0,5.0,38.0,0.0,44.0,43.0,0.0
24263,103.0,3.0,104.0,0.0,70.0,0.0,1.0,34.0,34.0
12973,85.0,0.0,89.0,0.0,6.0,23.0,4.0,84.0,80.0
43500,55.0,0.0,81.0,0.0,-6.0,11.0,25.0,,64.0
49126,,3.0,93.0,-4.0,38.0,0.0,54.0,55.0,0.0
2168,37.0,0.0,79.0,0.0,6.0,10.0,42.0,74.0,32.0
44640,,-1.0,81.0,2.0,44.0,0.0,36.0,37.0,0.0
37320,37.0,0.0,77.0,0.0,,-26.0,40.0,46.0,6.0
22336,56.0,5.0,97.0,0.0,54.0,0.0,41.0,42.0,2.0
31960,42.0,-5.0,81.0,0.0,,0.0,38.0,39.0,2.0
24543,38.0,-4.0,79.0,,38.0,0.0,41.0,40.0,0.0
53340,37.0,0.0,,0.0,34.0,10.0,46.0,49.0,2.0
38420,41.0,-2.0,79.0,0.0,42.0,15.0,39.0,38.0,0.0
6864,37.0,-4.0,90.0,0.0,20.0,0.0,53.0,70.0,16.0
13559,43.0,0.0,78.0,-4.0,42.0,0.0,35.0,37.0,2.0
43951,37.0,0.0,107.0,0.0,30.0,,70.0,76.0,6.0
35238,55.0,0.0,78.0,-6.0,18.0,-1.0,23.0,60.0,38.0
33633,55.0,0.0,82.0,3.0,54.0,0.0,26.0,28.0,2.0
3682,43.0,0.0,75.0,0.0,42.0,-2.0,32.0,34.0,2.0
6603,51.0,0.0,86.0,-3.0,50.0,-3.0,36.0,37.0,2.0
27753,37.0,0.0,77.0,0.0,0.0,0.0,,77.0,36.0
52867,43.0,0.0,80.0,-1.0,44.0,,37.0,36.0,
9375,41.0,,79.0,0.0,38.0,-27.0,38.0,40.0,2.0
55258,44.0,0.0,,-7.0,42.0,-10.0,36.0,38.0,2.0
53716,37.0,0.0,83.0,0.0,36.0,-5.0,45.0,46.0,2.0
52178,56.0,0.0,83.0,0.0,56.0,8.0,27.0,26.0,0.0
25902,54.0,0.0,103.0,-7.0,,0.0,49.0,49.0,
27658,45.0,,76.0,0.0,44.0,-4.0,31.0,32.0,2.0
29736,42.0,4.0,,0.0,42.0,0.0,42.0,43.0,0.0
1202,105.0,0.0,106.0,-7.0,70.0,0.0,1.0,36.0,36.0
36425,37.0,,80.0,0.0,16.0,-11.0,43.0,65.0,22.0
41638,44.0,3.0,102.0,0.0,42.0,-19.0,59.0,,2.0
5805,50.0,-4.0,86.0,-1.0,50.0,0.0,36.0,37.0,0.0
8732,37.0,0.0,105.0,,18.0,0.0,68.0,87.0,18.0
46759,45.0,0.0,79.0,0.0,46.0,22.0,33.0,32.0,0.0
3198,55.0,0.0,82.0,0.0,54.0,,26.0,28.0,2.0
23690,55.0,0.0,93.0,0.0,6.0,16.0,38.0,88.0,50.0
36946,37.0,0.0,79.0,-5.0,6.0,0.0,42.0,74.0,32.0
21299,56.0,0.0,78.0,3.0,10.0,5.0,22.0,,46.0
48182,55.0,0.0,95.0,0.0,52.0,-19.0,40.0,44.0,4.0
29942,80.0,2.0,84.0,,-28.0,0.0,4.0,112.0,108.0
18798,37.0,0.0,78.0,0.0,8.0,5.0,41.0,70.0,30.0
22550,45.0,2.0,,0.0,44.0,0.0,30.0,32.0,2.0
52725,42.0,-1.0,78.0,0.0,42.0,0.0,36.0,37.0,0.0
29366,52.0,0.0,84.0,0.0,52.0,-10.0,31.0,32.0,0.0
50534,37.0,0.0,76.0,0.0,20.0,-16.0,39.0,55.0,16.0
27708,41.0,-2.0,97.0,0.0,38.0,-8.0,57.0,59.0,2.0
53505,37.0,0.0,76.0,,28.0,-11.0,40.0,48.0,8.0
25910,44.0,4.0,86.0,0.0,44.0,7.0,43.0,42.0,0.0
54197,38.0,1.0,94.0,0.0,38.0,13.0,56.0,55.0,
45102,55.0,0.0,95.0,0.0,50.0,-13.0,40.0,46.0,6.0
17188,41.0,,79.0,0.0,38.0,-15.0,38.0,40.0,2.0
382,41.0,1.0,108.0,0.0,42.0,10.0,66.0,66.0,0.0
29976,56.0,0.0,78.0,4.0,10.0,7.0,22.0,68.0,46.0
14137,56.0,0.0,77.0,0.0,44.0,-19.0,22.0,34.0,12.0
35666,44.0,0.0,89.0,0.0,44.0,14.0,45.0,45.0,0.0
18503,55.0,0.0,78.0,1.0,24.0,-30.0,23.0,55.0,32.0
24138,37.0,0.0,80.0,,34.0,13.0,43.0,46.0,2.0
53027,56.0,-1.0,98.0,7.0,46.0,0.0,42.0,51.0,10.0
5623,48.0,0.0,88.0,-2.0,46.0,-6.0,39.0,41.0,2.0
54678,55.0,-5.0,97.0,,50.0,0.0,42.0,48.0,6.0
29392,55.0,-4.0,77.0,0.0,-24.0,0.0,21.0,103.0,82.0
2884,55.0,-1.0,82.0,1.0,54.0,0.0,27.0,28.0,0.0
48375,37.0,0.0,80.0,,20.0,18.0,43.0,59.0,16.0
52245,37.0,0.0,103.0,-6.0,20.0,0.0,66.0,82.0,16.0
5532,55.0,-1.0,78.0,0.0,16.0,-4.0,23.0,,40.0
8312,40.0,0.0,97.0,0.0,38.0,,56.0,58.0,2.0
48614,43.0,0.0,76.0,27.0,42.0,-9.0,33.0,35.0,2.0
51165,37.0,0.0,79.0,0.0,2.0,-12.0,42.0,76.0,34.0
57669,37.0,,77.0,-6.0,2.0,0.0,40.0,75.0,34.0
12804,45.0,0.0,76.0,0.0,44.0,-3.0,31.0,32.0,2.0
50754,43.0,0.0,81.0,0.0,42.0,-7.0,37.0,39.0,2.0
34927,37.0,0.0,76.0,0.0,34.0,-15.0,39.0,,2.0
5191,37.0,,,1.0,28.0,-12.0,64.0,73.0,8.0
34486,46.0,0.0,76.0,4.0,46.0,7.0,30.0,30.0,0.0
4680,40.0,1.0,102.0,0.0,38.0,,62.0,63.0,2.0
3310,56.0,0.0,79.0,1.0,-2.0,-29.0,23.0,81.0,58.0
46983,55.0,0.0,96.0,-1.0,50.0,0.0,41.0,,6.0
38089,53.0,0.0,86.0,0.0,52.0,-25.0,,35.0,2.0
2653,46.0,0.0,82.0,1.0,46.0,2.0,36.0,35.0,0.0
45993,37.0,0.0,95.0,-3.0,,3.0,58.0,,22.0
39412,56.0,0.0,81.0,1.0,,0.0,25.0,105.0,80.0
41471,40.0,-1.0,108.0,,38.0,0.0,67.0,69.0,2.0
2733,40.0,-4.0,76.0,0.0,38.0,0.0,35.0,37.0,2.0
46205,45.0,,83.0,0.0,,0.0,37.0,39.0,2.0
32999,44.0,-2.0,93.0,3.0,44.0,0.0,49.0,50.0,0.0
53954,37.0,0.0,76.0,0.0,38.0,16.0,38.0,37.0,0.0
837,44.0,0.0,86.0,-1.0,44.0,6.0,42.0,42.0,0.0
12889,42.0,0.0,76.0,-1.0,,-3.0,35.0,35.0,0.0
2752,37.0,0.0,78.0,0.0,8.0,-2.0,42.0,70.0,28.0
47181,42.0,0.0,78.0,-6.0,42.0,0.0,36.0,37.0,0.0
