,V1,V2,V3,V4
2277,1.707,0.456,,1.066
1937,1.462,0.671,1.448,0.714
2377,0.781,0.817,2.893,0.692
2337,1.049,,1.672,1.184
2698,1.02,1.015,1.149,2.406
3934,0.872,,,5.0
3473,3.278,0.848,1.403,0.429
3063,1.436,0.699,2.973,1.14
3937,0.822,0.791,2.78,1.472
1519,0.851,0.515,,
2789,1.1,0.741,1.734,1.008
1378,1.442,0.449,1.846,1.304
3892,1.463,0.68,2.251,1.116
1023,1.458,0.721,1.392,0.759
4839,1.015,0.779,2.902,1.578
2836,0.808,0.579,1.653,5.0
2405,1.285,0.656,2.924,0.961
3708,,0.576,1.653,1.21
3403,0.669,0.536,1.0,1.31
912,0.847,0.623,1.745,1.134
809,1.17,0.868,1.391,3.294
3382,1.337,0.67,2.235,
1675,2.051,,1.993,1.63
1746,0.785,0.792,1.313,2.637
978,,0.914,2.901,0.533
2298,,0.455,1.847,1.23
2484,0.897,0.452,1.404,0.435
1736,0.974,0.765,1.359,2.449
1629,2.608,0.536,1.744,1.078
4184,0.778,0.805,,0.735
430,,0.507,1.855,1.053
1965,,0.584,1.581,0.983
1808,1.35,0.729,1.414,0.76
2954,,0.516,1.745,1.202
2536,2.777,0.655,1.611,0.912
3946,0.77,0.793,2.752,
4596,0.825,0.565,1.695,5.0
2850,0.806,0.568,1.374,5.0
4607,0.826,0.547,2.017,5.0
2916,1.314,0.632,1.484,
2940,0.835,0.583,1.557,1.008
2892,1.615,0.745,1.37,
174,0.733,0.539,2.399,1.236
2718,0.823,1.027,0.892,
4537,0.885,0.749,1.367,0.783
4705,1.118,0.562,1.616,1.077
1752,0.778,0.793,1.322,2.652
5175,0.841,0.49,0.91,1.411
4872,0.786,0.771,2.133,0.951
5079,,,1.537,0.806
217,1.186,0.458,1.898,
4851,0.842,0.782,2.801,1.564
1721,1.158,2.228,1.463,2.287
4756,1.504,0.469,1.779,1.034
1444,0.793,0.796,1.464,0.781
690,,0.741,1.475,0.467
2233,1.889,0.499,1.927,0.935
4979,1.523,0.484,1.808,1.067
2654,1.411,,,2.104
4664,0.791,0.688,1.432,0.719
1106,1.194,0.448,1.779,1.032
4071,1.724,0.469,2.027,1.067
818,,0.828,1.345,2.395
3101,0.942,0.765,2.864,1.781
1873,0.807,0.509,2.445,5.0
611,0.507,,3.251,1.384
3413,0.565,0.503,3.188,1.36
5083,0.792,0.727,1.537,0.763
1697,1.745,1.38,1.776,1.933
4573,0.822,0.583,1.676,
136,1.591,0.763,1.355,0.627
2464,0.865,0.456,2.137,
4631,0.811,,2.903,0.579
576,,0.624,3.079,0.933
4507,0.782,,1.285,3.668
5244,0.822,0.663,1.604,
4845,0.945,0.782,2.861,
1180,1.275,0.817,2.903,0.838
3311,1.011,0.663,1.604,0.738
888,1.337,0.738,1.403,
3718,0.776,0.553,,1.201
324,,0.764,2.788,1.596
3153,1.794,,2.654,0.854
3794,1.09,,1.637,
2962,0.983,0.504,1.731,1.217
817,1.059,0.83,1.35,3.427
3893,,0.682,2.243,1.125
2758,0.818,,1.227,0.915
208,1.202,,1.763,1.073
293,0.983,0.78,2.381,1.701
2103,0.553,,2.931,5.0
1119,1.504,0.466,1.495,0.94
3970,1.768,0.369,2.661,0.89
2827,0.808,0.581,1.644,1.303
3151,0.942,0.35,2.651,0.854
2138,0.775,0.744,2.145,
1264,2.386,0.598,,1.178
990,,0.691,1.274,0.516
2704,,1.003,1.121,
1614,2.766,0.6,1.672,0.925
3366,1.54,,1.608,0.71
1739,0.921,0.773,1.343,2.474
4578,0.826,0.578,1.678,
2387,1.53,,1.577,0.712
1662,2.185,,1.959,1.503
353,0.811,0.836,2.639,0.886
2614,1.631,1.412,1.67,2.037
4167,0.782,0.759,1.504,0.787
3904,0.625,0.757,2.931,
2857,0.802,0.543,2.412,1.172
2059,0.835,0.644,3.036,1.824
1654,2.236,0.39,1.924,1.446
3620,0.822,0.89,1.224,3.675
1489,1.046,,1.108,1.163
4478,1.017,0.859,1.316,2.427
3575,1.45,1.362,1.591,2.123
3626,0.816,0.888,1.225,3.675
1228,0.815,0.484,2.032,1.361
259,1.03,0.642,1.786,1.642
2895,,0.726,1.389,0.635
2834,0.807,0.582,1.65,5.0
5170,0.835,0.495,2.62,1.417
4628,0.813,0.523,2.894,0.554
3012,1.447,0.483,1.777,0.973
52,1.129,0.473,2.502,0.589
2609,1.649,1.412,,2.029
2627,1.558,1.414,1.797,2.056
411,2.131,0.58,2.147,0.768
4118,1.366,0.508,,0.572
2856,,0.548,2.41,
1905,1.735,0.774,1.341,0.452
3307,1.091,0.64,1.633,
2780,1.221,0.789,1.277,0.884
4441,1.637,0.664,1.845,2.004
1589,3.131,0.627,1.49,0.568
1479,1.235,0.682,3.009,0.977
1507,0.852,0.525,3.176,1.358
1033,1.436,0.711,1.4,0.779
1097,1.2,0.451,1.815,
1469,1.411,0.751,,0.803
543,0.755,0.689,1.56,0.678
1046,,0.625,1.556,0.984
2321,1.296,,1.776,0.911
336,0.784,0.746,2.137,0.916
30,1.635,0.475,1.709,0.468
725,,0.559,1.729,
2887,1.683,0.766,1.345,0.518
4435,1.776,1.431,,1.925
2231,1.898,0.501,1.893,0.926
5372,,4.409,0.888,2.557
4459,,1.292,1.462,2.298
436,0.761,0.49,1.754,
2986,0.836,0.482,1.937,1.377
1588,3.142,,1.484,0.557
3956,0.768,0.405,2.76,0.93
1590,3.118,0.722,1.497,0.581
4271,,0.425,1.475,0.796
4005,2.549,0.659,2.123,0.963
1238,0.917,0.468,2.607,1.001
2651,1.417,0.728,,2.098
4649,1.569,0.791,1.331,0.497
4195,1.528,0.751,1.584,0.726
1497,,0.554,3.141,1.311
449,,0.485,1.768,1.095
2818,0.804,,1.629,1.303
3961,0.784,0.389,2.66,0.912
2505,3.286,0.835,1.41,0.41
1551,,0.48,1.422,0.467
4847,0.914,0.782,2.842,1.483
1146,1.351,0.61,1.848,0.693
1313,0.504,0.449,1.831,1.026
2015,,0.486,1.778,1.172
4487,0.853,0.835,1.28,
4645,1.717,0.793,1.329,0.492
2515,3.171,0.788,1.456,0.52
3583,1.3,0.785,1.483,2.187
3276,1.592,0.49,1.822,0.584
413,2.092,0.572,2.152,0.798
941,0.896,0.577,1.719,1.215
801,1.274,,1.467,2.247
2753,0.813,0.923,1.195,3.682
256,1.09,0.619,1.544,0.976
5350,,0.939,1.239,2.297
647,0.813,,1.426,0.432
1767,0.78,0.778,1.327,3.622
3758,1.529,0.685,1.434,0.651
2087,0.989,0.685,2.294,1.991
2495,0.855,0.479,,0.426
2197,1.455,0.571,2.083,
24,1.639,0.476,1.707,0.47
1088,0.848,0.469,3.217,1.338
2373,0.776,0.728,1.562,0.702
5195,0.842,0.448,2.648,
112,,0.684,1.353,0.714
2312,1.387,,1.802,1.367
56,1.428,0.486,2.89,0.617
1309,,,1.839,1.025
695,3.16,0.713,1.508,0.547
1227,0.816,0.489,2.029,1.06
3557,1.859,1.413,1.934,1.837
276,1.05,,2.308,1.749
2225,0.573,,1.886,0.908
1833,0.809,0.58,1.728,1.19
682,3.309,,1.436,
2620,1.629,,1.677,2.047
3821,0.828,0.486,1.952,1.398
1137,1.31,0.532,1.798,0.585
2899,1.484,0.697,1.417,0.711
2518,3.117,0.768,1.478,0.575
4322,,0.591,1.51,0.521
1346,1.731,0.418,1.813,1.028
2465,0.864,0.454,1.432,0.514
2342,0.957,0.636,1.626,1.273
4695,1.291,0.607,1.544,0.895
3565,1.633,1.38,2.032,1.985
2722,,0.982,1.133,2.588
2885,1.694,0.771,1.34,0.507
2723,0.824,0.978,1.137,2.379
4809,1.058,,,1.182
2299,1.317,,1.844,1.239
4550,1.264,0.715,1.879,0.861
4938,,0.551,2.803,0.798
81,1.094,0.567,,0.937
1972,1.08,0.554,1.626,1.121
1714,1.249,2.153,1.533,2.202
4589,,0.564,1.581,1.291
3033,1.233,0.566,1.783,1.013
1946,0.898,,1.426,0.731
2776,1.225,0.793,1.283,0.879
3615,0.836,0.938,1.227,2.604
1610,2.776,0.605,1.667,0.915
4648,1.715,,,0.497
2417,1.05,0.58,1.112,1.19
2714,0.811,5.0,0.875,2.592
5329,,1.762,1.37,2.402
4215,1.267,0.652,1.302,0.985
665,0.808,0.478,1.428,0.38
3555,1.893,1.428,1.95,
4651,1.696,,1.337,0.511
1017,1.459,0.725,1.389,0.759
557,1.572,0.74,1.626,0.642
3865,1.21,0.561,,
2845,0.808,0.563,1.689,1.177
1207,0.849,0.918,,1.567
3727,0.762,,2.864,0.633
3103,0.913,0.768,,5.0
1510,0.582,0.522,3.173,1.357
3407,0.88,0.506,3.193,1.366
3411,0.887,0.505,3.194,1.36
266,1.16,,3.007,1.685
2498,0.868,0.463,1.406,0.417
2804,0.801,0.625,0.854,1.288
2111,,0.734,2.927,1.706
2462,0.864,0.461,1.435,0.796
1909,1.726,0.767,1.345,0.46
3271,1.435,0.482,1.84,1.144
3659,1.268,0.769,1.842,0.852
3337,,0.742,1.513,1.48
2687,1.135,0.958,1.23,2.482
1784,0.767,0.799,1.369,0.763
1237,0.844,0.467,2.605,1.007
4553,1.211,,1.663,
5381,0.824,0.849,1.185,2.599
2886,1.69,0.769,1.342,0.511
908,0.923,0.65,1.13,1.055
1303,1.541,0.452,1.841,
3774,1.396,0.636,1.48,
1627,2.644,0.55,1.728,1.043
1522,0.855,0.51,2.565,1.352
835,0.785,,1.296,
358,1.814,0.357,2.244,0.833
138,1.588,0.763,1.352,0.63
299,0.977,0.779,2.388,1.708
1556,0.939,0.565,1.387,0.459
1003,0.96,0.842,1.279,0.553
382,,0.693,2.094,0.952
3145,1.807,0.364,2.647,0.852
761,,0.578,1.943,1.668
4207,1.416,0.706,,0.837
2900,1.468,0.686,,0.731
2755,,0.992,1.211,3.749
4418,2.008,0.481,1.945,1.692
1402,1.213,0.522,1.761,0.587
3204,,0.614,2.798,
4694,0.907,0.612,1.553,0.879
1932,1.468,0.668,,0.708
2623,1.557,1.413,1.674,2.051
4356,2.801,0.599,1.675,
4672,0.857,0.651,,0.791
2364,0.776,0.718,1.536,0.739
3243,0.802,0.495,1.814,1.085
58,1.409,0.486,2.879,0.575
76,1.188,,2.741,0.621
796,1.332,2.171,1.537,2.166
3875,0.982,0.632,2.061,1.584
785,1.596,1.388,1.691,2.021
4213,1.304,0.666,,
3790,1.154,,1.613,1.025
3023,1.358,0.508,,0.865
2527,0.873,0.701,1.549,
3889,1.471,0.676,2.248,1.108
2807,,0.624,0.863,1.311
5357,0.946,0.935,1.23,2.477
910,0.881,0.669,1.091,1.094
2172,0.941,0.345,2.174,0.846
3176,0.893,0.733,2.672,0.903
5110,1.557,0.758,1.629,0.7
1257,1.555,0.726,1.837,1.097
4119,1.354,0.512,1.776,0.578
3268,1.663,0.48,1.846,1.121
1178,,0.807,1.896,
4114,1.406,0.497,1.795,0.838
4464,1.19,2.29,,2.369
442,0.773,0.488,,1.103
3408,0.57,,3.203,1.364
3606,0.98,0.895,1.277,2.47
4802,,0.681,3.021,
5203,0.829,0.445,1.466,0.47
1054,1.078,,3.123,1.12
2232,1.895,0.5,1.892,0.93
5325,1.37,1.432,1.419,2.121
5275,2.394,0.512,1.781,1.316
3897,,0.701,2.98,0.788
3662,1.251,0.776,1.317,0.869
2486,,0.455,1.404,0.434
4372,2.53,0.512,1.779,1.178
3613,0.867,0.927,1.237,2.598
1502,0.85,0.535,3.169,1.359
2603,1.686,1.406,1.766,1.995
3221,2.013,0.556,2.102,
2011,1.471,0.486,1.774,1.17
5074,0.797,0.727,1.534,0.791
2991,1.461,0.477,3.208,
4407,2.138,0.442,1.916,1.563
4129,1.192,,1.703,0.64
6,1.684,0.451,2.33,0.432
678,2.935,0.426,1.424,0.37
1943,1.452,0.666,1.452,0.724
3113,0.782,0.769,,1.608
5026,1.522,0.488,1.823,1.264
4966,1.524,0.485,1.805,1.067
4287,,0.441,1.445,0.417
2984,0.836,0.483,1.934,
5023,1.363,0.483,1.831,0.578
1064,0.651,0.515,3.188,1.29
3126,0.776,0.749,2.137,0.933
2242,0.803,0.475,1.877,1.032
1474,1.328,0.717,2.986,
4008,,0.536,2.072,
1889,,0.854,2.922,0.562
2890,0.931,,1.358,0.552
2021,,0.488,1.778,1.127
4301,0.852,,1.442,0.382
3592,1.211,0.834,1.382,2.409
2706,0.918,1.038,,2.314
1130,1.418,0.498,2.023,0.572
1461,1.466,0.777,1.521,
4944,1.968,0.529,,0.893
2767,0.811,0.978,1.238,0.897
3834,1.092,,1.773,1.144
222,1.535,,1.805,0.916
5060,0.974,0.666,1.612,0.726
48,1.143,0.471,2.526,0.582
573,1.335,,3.067,0.876
1236,0.827,0.469,,1.025
5024,1.355,0.484,1.829,0.579
5289,2.112,0.513,1.85,1.594
4909,2.564,0.678,2.146,1.03
267,,0.702,2.195,
1104,1.195,0.448,1.782,0.976
1935,0.848,0.667,1.448,
386,,0.68,2.098,0.98
4127,1.227,0.565,1.719,0.626
3995,,0.697,2.719,
3315,,,1.571,1.875
4782,,0.545,1.758,
1563,5.0,0.573,,0.48
2997,1.105,0.472,1.758,1.115
209,1.201,0.456,1.829,1.04
909,0.899,0.641,1.11,1.075
1289,0.932,0.514,1.91,1.551
4126,,0.556,1.727,0.625
4527,0.796,,,0.803
1842,,0.573,1.717,1.211
4470,1.12,2.333,1.36,2.399
3045,0.966,0.652,2.015,1.61
958,0.896,0.548,2.611,1.088
1793,0.851,0.755,1.419,0.734
2088,0.981,0.693,2.983,2.006
331,0.788,0.772,2.185,5.0
3650,,0.826,1.81,0.849
3253,1.754,0.489,1.971,1.046
2503,3.287,0.833,,0.409
1774,0.778,,1.344,3.621
3978,0.912,0.745,2.663,0.894
4025,2.159,0.567,2.149,0.745
4437,1.686,1.432,1.787,1.951
2549,2.549,0.577,1.701,1.139
4259,0.838,0.451,2.642,1.411
4822,1.04,0.774,,1.554
4006,2.325,0.555,2.602,0.976
4866,0.791,0.885,2.361,0.925
1366,1.348,0.426,1.889,1.186
173,0.989,,,1.218
3383,1.322,0.667,1.415,
3958,0.77,0.393,3.23,0.921
2422,0.704,0.549,1.005,
4764,1.435,0.481,1.556,0.988
1952,1.4,0.638,1.485,0.769
2809,0.804,0.618,0.874,1.305
2036,,0.529,1.714,0.937
3250,1.754,0.489,1.932,1.045
4305,3.334,0.442,1.445,0.378
4498,,,1.282,2.659
0,,,2.332,0.429
2174,0.921,0.74,2.662,0.865
1356,1.668,0.416,1.926,1.083
4035,1.964,,,0.895
2655,1.416,0.731,1.594,
4595,0.825,0.565,1.695,5.0
396,1.422,,2.027,1.062
4108,1.464,0.484,1.816,1.308
3442,0.888,0.457,,0.782
1812,1.293,,1.9,0.824
3024,,0.512,1.64,1.076
3710,0.783,0.572,1.653,
816,1.074,0.828,1.355,3.405
1572,0.753,0.993,,0.55
3523,2.378,0.527,1.767,1.319
1800,1.384,0.734,1.448,0.734
2280,1.697,0.454,1.774,1.073
4640,0.837,0.805,1.328,0.509
4144,0.915,0.705,1.567,1.907
2746,0.818,0.928,1.177,2.629
4715,0.746,0.512,1.868,
3692,0.784,0.602,1.627,1.329
5163,0.862,0.507,,1.396
4616,0.823,0.527,,0.595
3593,1.197,0.839,1.372,2.395
5284,2.212,,1.827,1.492
554,1.567,0.745,1.622,0.643
1159,0.94,0.727,,1.579
1213,0.829,0.914,1.99,
2617,1.626,1.412,1.688,2.041
1325,0.742,0.431,1.785,
5426,0.934,0.792,,0.717
2805,0.801,,0.862,1.303
700,3.023,0.684,1.558,0.68
3753,1.547,0.692,1.424,0.631
3647,0.802,0.819,1.273,
3933,0.889,0.777,2.826,1.415
1455,0.797,0.806,1.484,0.762
4576,0.826,0.582,1.675,1.291
3749,0.887,0.716,1.401,0.578
4718,,0.5,,1.323
866,0.803,0.792,1.36,0.785
1644,,0.427,1.873,1.35
4836,1.025,0.778,2.907,1.567
4972,1.522,0.485,1.807,1.069
3625,0.816,0.889,1.224,3.672
1490,1.027,0.604,1.089,
4472,,2.347,1.346,2.41
729,,0.534,1.758,1.226
4935,1.156,0.562,2.146,0.752
4009,1.458,0.642,2.779,1.027
1936,1.463,0.672,,
3817,0.828,0.489,3.207,1.395
1110,1.19,0.451,1.781,0.986
4440,1.646,1.421,1.748,
4882,0.793,0.863,2.651,0.875
1185,1.362,0.814,1.899,0.863
2007,1.072,0.486,1.773,1.169
193,0.869,0.485,3.206,1.343
1515,0.849,0.518,3.166,1.355
578,1.24,0.61,,0.971
2123,0.831,0.739,2.825,0.904
1429,0.801,,1.441,0.802
771,1.881,1.407,1.935,1.802
5401,0.814,0.806,1.307,3.625
1846,0.845,0.558,1.696,1.263
131,1.593,,1.347,
178,0.65,0.515,3.185,1.309
4877,0.785,,2.647,0.886
3194,2.538,0.651,2.073,0.971
2988,0.836,0.481,1.934,1.38
3035,1.164,0.58,1.818,1.501
3121,0.782,0.869,2.34,
4128,1.209,0.571,1.711,
2073,0.77,0.647,,0.738
658,0.802,0.427,1.418,0.382
1896,0.795,0.624,1.343,0.472
3940,,0.901,2.751,0.974
2221,0.592,0.531,2.744,0.851
2379,1.555,0.767,,0.688
4554,1.048,0.694,1.841,0.931
342,0.785,0.374,,0.897
3540,2.084,0.479,1.895,1.61
727,2.508,0.547,1.744,1.188
4304,3.333,0.437,1.444,0.379
976,0.879,0.526,2.893,0.571
2569,2.18,,1.842,
3537,2.127,0.503,1.876,1.568
1928,1.476,0.674,1.443,
3095,0.995,0.766,2.891,1.559
3849,1.387,0.493,,1.045
1299,1.543,0.453,1.841,1.024
3554,1.91,0.516,1.971,
5015,1.425,0.475,1.856,1.162
660,,0.478,1.419,0.381
1790,0.768,0.832,1.387,0.743
5012,1.644,0.475,1.863,1.145
5302,1.724,1.466,,1.978
3886,1.469,0.68,2.291,1.133
3048,0.91,0.668,3.023,1.666
3941,0.771,0.805,2.745,0.978
4361,2.736,0.587,1.703,0.973
3206,1.306,0.607,,0.622
1085,0.855,0.472,1.798,1.338
3793,1.106,0.547,1.631,1.081
1278,1.924,0.585,1.933,1.363
3649,0.807,0.814,1.289,0.854
1621,2.734,0.578,1.689,0.954
3586,1.276,2.253,,2.199
5354,0.991,0.933,1.232,
67,1.32,0.499,2.83,0.71
5032,1.461,0.5,1.801,0.591
2873,0.794,0.569,1.341,0.537
2269,1.495,0.456,1.779,1.067
3800,1.006,0.518,1.748,1.201
4306,3.334,0.453,1.448,0.377
820,1.007,0.797,1.337,2.437
1226,,0.499,2.009,5.0
5415,0.807,0.868,1.367,5.0
4698,,0.594,,0.946
2367,0.775,0.719,1.543,0.727
2932,,0.623,1.546,0.906
3607,0.966,0.897,1.27,
4867,,,2.778,0.922
4655,1.637,0.632,1.362,0.562
3980,0.899,0.74,2.669,0.905
1143,1.257,0.582,1.777,0.649
397,1.407,0.636,2.035,1.084
5293,1.952,0.573,,1.75
4689,0.858,0.635,1.491,0.813
3653,0.893,0.788,1.319,0.845
1398,1.25,0.503,1.783,0.596
1659,2.205,,1.943,1.481
2220,,0.536,2.752,0.837
979,,,1.253,0.522
2331,1.161,0.546,1.723,
1298,1.542,0.458,,1.026
2692,1.082,1.189,1.185,2.378
82,1.075,0.573,2.656,0.956
5157,0.901,0.521,3.191,1.355
2917,1.316,,1.485,
4270,0.836,0.428,,0.797
4303,3.332,0.433,1.443,0.38
3880,0.889,,3.038,1.783
423,1.897,0.533,1.874,0.949
4731,0.851,0.482,1.757,1.36
1904,1.737,0.774,1.341,0.45
4953,0.831,0.499,1.867,1.032
3984,0.856,0.393,2.693,0.942
3689,0.778,,1.613,1.336
1565,0.806,,1.423,0.498
3988,2.672,0.392,2.714,
839,,0.817,1.297,3.647
500,1.15,0.559,1.719,1.074
141,1.566,0.753,1.362,
1377,1.452,,1.849,1.294
4246,0.831,0.475,0.909,1.412
5346,1.105,0.94,,2.331
2266,1.492,,1.78,1.067
5150,0.901,0.533,0.966,1.352
1138,1.295,0.54,1.797,0.602
4050,0.763,0.478,1.773,
3501,2.79,0.686,1.603,0.914
1787,0.789,0.84,1.378,0.754
3070,1.041,0.714,2.959,0.804
550,0.761,0.851,5.0,0.663
3686,0.818,0.632,1.626,
2019,1.452,0.487,1.777,1.188
948,0.899,,1.629,1.105
2688,1.126,1.183,1.225,2.348
3671,1.11,0.725,1.758,1.01
532,0.768,,1.536,
5237,3.061,0.707,,0.651
1829,0.829,0.609,1.035,1.147
3463,0.882,0.47,1.394,0.423
4824,1.042,0.772,2.915,1.458
4353,,0.605,1.669,0.893
1602,,0.624,1.602,0.785
2238,1.825,0.487,1.88,0.984
639,0.824,0.405,1.44,0.766
5269,2.513,0.539,1.749,1.198
967,0.894,0.529,,0.581
4693,1.316,0.617,1.528,0.864
3109,0.816,0.766,2.793,1.584
1683,1.943,1.39,2.003,1.232
2248,0.746,,1.754,1.083
4881,,0.765,,0.876
2778,1.225,,1.273,0.883
155,1.317,0.666,1.453,0.895
2295,1.556,0.453,1.659,1.201
5106,1.566,0.761,1.618,0.691
3365,,0.741,1.609,0.709
1089,0.85,,3.22,1.341
3142,0.776,0.375,2.651,0.862
2319,1.316,0.494,,0.893
4624,0.816,0.542,,0.572
288,0.541,0.786,2.373,
930,,0.582,,1.205
5246,2.892,,1.619,0.819
3543,1.796,0.482,1.91,1.647
5339,1.204,2.408,1.287,2.248
4956,0.789,0.49,1.864,1.076
4010,1.44,0.638,,1.045
4406,2.147,0.444,,
3910,0.597,0.76,2.925,5.0
942,0.896,0.576,,1.214
2354,0.782,0.723,1.526,0.757
4343,2.829,0.608,1.665,0.878
5086,0.788,0.727,1.54,0.75
1698,1.601,1.379,1.783,1.946
5136,1.154,0.619,3.072,1.099
5261,2.668,0.578,1.704,
3780,1.315,0.608,1.529,0.856
3333,0.778,0.743,,0.829
3646,0.806,0.822,,0.867
985,0.878,,1.272,0.512
3288,1.443,0.524,1.767,
2596,1.804,,1.966,1.875
3493,2.935,0.714,1.546,0.77
5210,0.829,0.521,1.44,0.428
981,0.88,,1.25,0.513
2955,0.766,0.51,1.75,1.214
4968,1.526,0.485,1.803,1.065
2882,1.698,0.775,,
3759,1.527,0.685,1.435,0.654
3492,2.954,0.718,,0.751
4148,0.843,0.738,1.525,0.809
2812,0.804,0.617,1.624,1.306
4337,0.795,0.638,1.628,0.797
1457,0.801,0.792,3.0,0.755
1395,1.277,0.493,1.79,0.558
264,0.942,0.679,2.099,1.645
2841,,,1.675,1.176
929,0.907,0.582,1.715,1.203
3639,0.804,0.963,1.255,2.687
4852,,0.784,,1.635
2400,,0.689,2.871,
2178,2.751,0.723,2.163,0.872
4051,0.766,0.479,1.777,1.081
246,1.273,0.545,1.608,0.935
1594,3.055,,1.529,0.642
1758,0.778,,1.325,3.631
5304,1.688,1.462,1.951,2.013
3332,0.779,0.743,1.51,0.83
923,0.915,0.584,1.722,1.195
3938,0.806,0.901,2.364,1.951
268,1.139,0.707,2.198,1.824
669,3.335,0.424,,0.369
3246,1.542,0.492,1.867,1.052
1910,1.719,0.764,1.348,0.467
3548,1.788,0.605,1.935,1.704
1152,1.292,0.666,1.876,0.939
5251,2.82,0.623,1.647,0.891
4101,,0.472,1.837,
4625,0.816,0.707,2.479,0.571
1781,0.766,0.856,1.355,3.619
2413,1.128,0.605,3.073,1.116
2307,1.435,0.47,1.82,1.318
2574,2.11,0.491,1.867,1.574
3544,1.789,0.621,1.916,1.659
1915,0.926,0.74,1.372,0.532
612,0.508,0.45,3.248,
3358,,0.763,2.912,0.711
2267,1.492,0.456,1.779,1.064
2533,2.826,0.667,1.592,0.864
39,0.576,0.471,1.67,0.5
1898,0.801,0.503,1.336,0.474
1649,1.768,0.426,1.902,1.406
5004,1.716,,2.582,1.083
258,1.049,,1.766,1.622
3951,0.769,0.789,2.756,0.974
847,0.779,0.81,1.299,3.642
3922,1.595,0.76,2.923,1.724
5321,1.411,0.853,1.474,2.249
1233,0.817,,2.588,1.039
1127,1.424,0.488,1.568,
2925,1.296,0.626,1.54,0.891
1967,1.164,,1.592,1.023
558,,,1.621,0.646
904,1.138,0.68,1.809,0.979
484,1.392,0.496,1.798,1.374
2211,1.197,0.576,2.836,0.708
1320,0.496,0.433,,1.052
5328,1.335,1.754,1.382,2.347
2555,2.437,0.542,,1.251
7,1.68,0.453,2.327,0.436
2315,1.356,0.485,1.794,0.859
4630,0.812,0.572,2.901,0.57
3896,1.049,0.695,2.298,1.172
5188,,0.464,1.481,0.826
1450,0.81,0.819,1.463,0.77
1201,0.938,0.911,2.276,1.391
2426,0.886,0.525,0.953,1.353
1814,1.257,,1.321,0.86
773,1.848,1.404,1.893,1.836
2274,1.707,0.456,1.981,1.065
1011,0.866,0.774,1.345,0.673
4048,0.776,0.482,2.585,1.077
4088,1.655,0.462,1.883,1.124
1991,0.806,0.501,1.749,1.196
1277,1.944,0.591,1.942,0.783
1783,0.768,0.817,,0.773
3693,0.784,0.603,1.627,1.329
446,1.491,0.485,1.771,1.093
880,1.349,0.737,1.413,0.766
4870,0.788,0.779,2.129,4.313
781,1.647,1.394,1.79,1.968
1749,0.773,,1.32,2.656
4031,2.044,0.545,2.773,0.832
3080,0.575,0.785,2.891,
2423,0.682,0.542,,1.3
5323,1.389,2.278,1.446,2.11
4712,0.992,0.526,1.816,1.215
883,1.342,,,0.769
2820,0.804,0.596,,1.303
1091,0.848,0.464,1.925,1.339
3829,1.1,0.479,1.768,1.133
3487,3.051,,1.499,0.655
531,,0.682,1.534,0.776
3008,,0.476,1.768,0.567
2438,0.866,0.496,,1.372
4431,1.833,1.431,1.974,1.868
3949,0.769,,2.755,4.312
4788,1.127,0.587,1.883,0.929
4475,1.059,0.814,1.331,2.413
2290,1.606,0.45,1.884,1.151
1727,1.091,2.271,1.408,2.357
610,0.507,0.451,3.251,1.384
570,,0.664,3.363,0.819
3163,0.935,,2.656,0.856
3601,1.064,0.875,,3.437
343,,0.373,2.217,
3567,1.678,1.412,1.741,2.015
3734,,0.775,1.377,0.537
434,0.765,0.494,1.854,1.104
1903,,0.772,1.34,0.449
97,0.815,,2.464,1.226
3478,3.215,0.822,1.43,0.489
2069,0.76,0.649,3.019,
1537,0.85,0.477,1.411,0.793
2678,1.222,1.169,1.348,2.358
4942,2.007,0.536,2.143,0.862
1517,0.85,0.517,,1.355
965,0.891,0.532,2.621,1.084
4810,1.047,0.716,,1.209
528,0.769,0.684,1.53,0.78
176,0.679,0.53,3.176,1.272
2470,0.863,0.45,1.449,0.485
4295,,0.433,1.444,0.387
3013,1.436,0.484,1.782,0.985
4684,1.392,0.643,1.476,
572,1.355,0.648,,0.857
2732,0.823,,,2.407
592,0.974,0.517,1.041,1.235
4536,0.887,,1.39,
3862,1.264,0.54,,0.976
2374,,0.791,1.568,0.7
5118,1.496,,1.572,
3819,0.828,0.488,1.952,1.395
4402,2.174,0.436,1.905,1.53
2208,1.253,0.59,2.124,
3168,0.935,,2.657,0.86
2492,0.852,0.531,1.412,0.428
3269,1.453,0.481,1.844,1.128
383,2.644,0.69,2.084,
852,0.779,0.813,1.313,
1880,0.802,0.49,2.464,4.764
370,0.919,0.747,2.241,0.868
5017,1.417,,1.849,1.177
3651,0.881,0.798,1.751,0.845
4714,0.958,0.516,1.856,1.256
1105,1.195,,1.776,1.004
3049,,0.675,3.02,1.684
2361,0.78,0.723,1.528,0.746
4394,2.184,,1.901,1.52
1336,1.496,0.422,1.806,1.03
2189,2.603,,2.731,
5009,1.668,0.477,1.877,1.124
3968,0.784,0.379,2.668,0.898
2754,0.811,0.919,,3.682
4954,0.816,0.496,1.866,1.05
4482,0.947,0.829,1.296,2.488
5286,2.172,0.504,1.837,1.532
1171,0.799,0.78,1.946,0.881
5392,0.821,0.825,1.289,2.613
3193,2.552,,2.041,
1422,0.883,0.725,1.5,0.748
2686,1.144,0.947,1.239,3.419
5264,2.612,0.563,,1.102
